frame_id,condition,conf_thres,model,n_det_clean,n_det_degraded,post_ms_clean,post_ms_degraded
173,rain_heavy,0.25,yolov8n_visdrone_640.onnx,21,0,2.0405,0.6226
174,rain_heavy,0.25,yolov8n_visdrone_640.onnx,24,3,1.8804,0.7028
175,rain_heavy,0.25,yolov8n_visdrone_640.onnx,23,0,2.2964,0.7247
176,rain_heavy,0.25,yolov8n_visdrone_640.onnx,22,1,1.4506,0.6383
177,rain_heavy,0.25,yolov8n_visdrone_640.onnx,24,1,1.6016,1.0695
178,rain_heavy,0.25,yolov8n_visdrone_640.onnx,22,3,1.7493,1.097
179,rain_heavy,0.25,yolov8n_visdrone_640.onnx,24,1,1.6789,0.6575
180,rain_heavy,0.25,yolov8n_visdrone_640.onnx,21,1,1.126,0.9084
181,rain_heavy,0.25,yolov8n_visdrone_640.onnx,23,0,1.7912,0.4947
182,rain_heavy,0.25,yolov8n_visdrone_640.onnx,24,0,1.4715,0.7351
183,rain_heavy,0.25,yolov8n_visdrone_640.onnx,22,1,1.881,0.6021
184,rain_heavy,0.25,yolov8n_visdrone_640.onnx,20,2,1.7249,0.6563
185,rain_heavy,0.25,yolov8n_visdrone_640.onnx,19,1,1.6505,0.9136
186,rain_heavy,0.25,yolov8n_visdrone_640.onnx,22,0,1.7036,0.6529
187,rain_heavy,0.25,yolov8n_visdrone_640.onnx,23,1,1.7244,1.0753
188,rain_heavy,0.25,yolov8n_visdrone_640.onnx,23,0,1.8846,0.6631
189,rain_heavy,0.25,yolov8n_visdrone_640.onnx,22,0,2.1029,0.6202
190,rain_heavy,0.25,yolov8n_visdrone_640.onnx,20,0,1.1551,0.5657
191,rain_heavy,0.25,yolov8n_visdrone_640.onnx,19,1,1.6463,0.9678
192,rain_heavy,0.25,yolov8n_visdrone_640.onnx,18,0,1.8321,0.5656
193,rain_heavy,0.25,yolov8n_visdrone_640.onnx,20,0,1.0505,0.6126
194,rain_heavy,0.25,yolov8n_visdrone_640.onnx,20,2,1.2235,0.8244
195,rain_heavy,0.25,yolov8n_visdrone_640.onnx,20,0,1.0713,0.6175
196,rain_heavy,0.25,yolov8n_visdrone_640.onnx,18,0,1.5204,0.6081
197,rain_heavy,0.25,yolov8n_visdrone_640.onnx,17,0,1.099,0.442
198,rain_heavy,0.25,yolov8n_visdrone_640.onnx,18,0,1.6463,0.4205
199,rain_heavy,0.25,yolov8n_visdrone_640.onnx,18,0,1.9352,0.6671
200,rain_heavy,0.25,yolov8n_visdrone_640.onnx,21,0,1.8683,0.4206
201,rain_heavy,0.25,yolov8n_visdrone_640.onnx,19,3,1.1602,0.6962
202,rain_heavy,0.25,yolov8n_visdrone_640.onnx,19,0,1.6915,0.4465
203,rain_heavy,0.25,yolov8n_visdrone_640.onnx,20,1,2.2058,0.9408
204,rain_heavy,0.25,yolov8n_visdrone_640.onnx,19,4,1.0826,1.2181
205,rain_heavy,0.25,yolov8n_visdrone_640.onnx,18,2,1.0637,1.0014
206,rain_heavy,0.25,yolov8n_visdrone_640.onnx,19,1,1.6484,0.9289
207,rain_heavy,0.25,yolov8n_visdrone_640.onnx,20,3,1.6993,1.1417
208,rain_heavy,0.25,yolov8n_visdrone_640.onnx,19,3,1.3936,1.0161
209,rain_heavy,0.25,yolov8n_visdrone_640.onnx,20,0,2.7456,0.4084
210,rain_heavy,0.25,yolov8n_visdrone_640.onnx,19,0,1.5524,0.6077
211,rain_heavy,0.25,yolov8n_visdrone_640.onnx,18,2,1.3887,0.9534
212,rain_heavy,0.25,yolov8n_visdrone_640.onnx,22,0,1.1863,0.6528
213,rain_heavy,0.25,yolov8n_visdrone_640.onnx,22,2,1.0873,1.0019
214,rain_heavy,0.25,yolov8n_visdrone_640.onnx,22,1,1.0843,0.629
215,rain_heavy,0.25,yolov8n_visdrone_640.onnx,22,0,1.7226,0.433
216,rain_heavy,0.25,yolov8n_visdrone_640.onnx,18,1,1.4832,0.9748
217,rain_heavy,0.25,yolov8n_visdrone_640.onnx,18,2,1.6279,0.7403
218,rain_heavy,0.25,yolov8n_visdrone_640.onnx,18,3,1.2312,1.129
219,rain_heavy,0.25,yolov8n_visdrone_640.onnx,19,0,1.1203,0.6308
220,rain_heavy,0.25,yolov8n_visdrone_640.onnx,19,0,1.5422,0.6033
221,rain_heavy,0.25,yolov8n_visdrone_640.onnx,19,1,1.1391,0.943
222,rain_heavy,0.25,yolov8n_visdrone_640.onnx,20,0,1.6067,0.438
223,rain_heavy,0.25,yolov8n_visdrone_640.onnx,20,1,1.5104,0.8384
224,rain_heavy,0.25,yolov8n_visdrone_640.onnx,21,1,1.0679,0.6291
225,rain_heavy,0.25,yolov8n_visdrone_640.onnx,19,0,1.56,0.6124
226,rain_heavy,0.25,yolov8n_visdrone_640.onnx,19,1,1.0494,0.595
227,rain_heavy,0.25,yolov8n_visdrone_640.onnx,20,0,1.1056,0.5562
228,rain_heavy,0.25,yolov8n_visdrone_640.onnx,19,2,1.8722,0.671
229,rain_heavy,0.25,yolov8n_visdrone_640.onnx,19,0,1.0891,0.4359
230,rain_heavy,0.25,yolov8n_visdrone_640.onnx,20,1,1.7263,0.8348
231,rain_heavy,0.25,yolov8n_visdrone_640.onnx,19,1,1.2655,0.6472
232,rain_heavy,0.25,yolov8n_visdrone_640.onnx,19,0,1.5096,0.607
233,rain_heavy,0.25,yolov8n_visdrone_640.onnx,19,0,1.5593,0.6483
234,rain_heavy,0.25,yolov8n_visdrone_640.onnx,19,0,1.1277,0.4323
235,rain_heavy,0.25,yolov8n_visdrone_640.onnx,19,0,1.0589,0.655
236,rain_heavy,0.25,yolov8n_visdrone_640.onnx,19,0,1.4936,0.4037
237,rain_heavy,0.25,yolov8n_visdrone_640.onnx,18,1,1.3024,0.5814
238,rain_heavy,0.25,yolov8n_visdrone_640.onnx,17,1,1.3613,0.5806
239,rain_heavy,0.25,yolov8n_visdrone_640.onnx,17,1,1.1566,0.8453
240,rain_heavy,0.25,yolov8n_visdrone_640.onnx,80,35,2.8786,2.3307
241,rain_heavy,0.25,yolov8n_visdrone_640.onnx,79,37,3.1853,2.1859
242,rain_heavy,0.25,yolov8n_visdrone_640.onnx,79,43,3.356,2.3486
243,rain_heavy,0.25,yolov8n_visdrone_640.onnx,79,29,3.7423,1.3718
244,rain_heavy,0.25,yolov8n_visdrone_640.onnx,79,41,4.068,2.2206
245,rain_heavy,0.25,yolov8n_visdrone_640.onnx,79,35,3.8322,1.3711
246,rain_heavy,0.25,yolov8n_visdrone_640.onnx,79,46,3.2653,2.1522
247,rain_heavy,0.25,yolov8n_visdrone_640.onnx,79,41,3.9101,2.6595
248,rain_heavy,0.25,yolov8n_visdrone_640.onnx,81,42,3.2052,2.3428
249,rain_heavy,0.25,yolov8n_visdrone_640.onnx,80,36,5.0235,2.4925
250,rain_heavy,0.25,yolov8n_visdrone_640.onnx,78,44,2.43,1.57
251,rain_heavy,0.25,yolov8n_visdrone_640.onnx,79,43,2.5371,2.4881
252,rain_heavy,0.25,yolov8n_visdrone_640.onnx,78,42,4.0489,1.5202
253,rain_heavy,0.25,yolov8n_visdrone_640.onnx,79,40,3.7333,2.2893
254,rain_heavy,0.25,yolov8n_visdrone_640.onnx,77,47,3.8854,1.8515
255,rain_heavy,0.25,yolov8n_visdrone_640.onnx,78,35,2.7092,1.9276
256,rain_heavy,0.25,yolov8n_visdrone_640.onnx,80,36,3.1745,2.0532
257,rain_heavy,0.25,yolov8n_visdrone_640.onnx,79,42,4.1112,1.635
258,rain_heavy,0.25,yolov8n_visdrone_640.onnx,77,42,3.4716,1.6289
259,rain_heavy,0.25,yolov8n_visdrone_640.onnx,77,45,4.1387,2.5786
260,rain_heavy,0.25,yolov8n_visdrone_640.onnx,78,46,4.7735,2.5761
